countyname,state,numberofplans1,numberofplans2,countyssa,eligibles,totalenrollees,totalpenetration
Unusual SCounty Code,99,172,40,HCPP,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,COST,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,PFFS,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,DEMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,DEMP,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HCPP,0,71611340,Inf
Unusual SCounty Code,99,172,40,HCPP,0,71611340,Inf
Unusual SCounty Code,99,172,40,DEMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,DEMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
Unusual SCounty Code,99,172,40,HMO,0,71611340,Inf
